#{"t_start": 1537442773.723104, "env_id": "Planar-direction-v1"}
r,l,t
76.141581,1024,7578.924023
71.374497,1024,7606.726759
84.824173,1024,7634.668426
88.759567,1024,7661.412056
85.344421,1024,7689.251516
82.575641,1024,7716.65055
83.287301,1024,7744.801514
79.52468,1024,7772.02861
86.323968,1024,7799.775208
80.983098,1024,7827.06188
85.756527,1024,7854.873925
81.327682,1024,7882.13686
31.188414,556,7898.050199
30.564397,714,7918.93378
83.257384,1024,7946.62024
85.122429,1024,7975.369448
86.003641,1024,8003.427595
82.650547,1024,8031.9911
86.769886,1024,8059.5028
88.37697,1024,8088.609897
78.52868,1024,8116.455082
82.090275,1024,8145.50637
89.760918,1024,8173.161354
86.405438,1024,8202.102793
89.369618,1024,8230.14837
87.312018,1024,8259.284955
55.833298,847,8283.407521
87.695992,1024,8313.079949
87.357888,1024,8341.237293
85.62643,1024,8370.635948
89.764082,1024,8399.588912
89.811505,1024,8429.158313
81.607078,1024,8457.01929
87.280653,1024,8486.143294
88.163405,1024,8514.951334
84.904308,1024,8544.436875
89.033506,1024,8572.903429
82.230962,1024,8602.20021
84.976523,1024,8630.596528
83.682803,1024,8660.131857
87.577947,1024,8688.306811
89.285723,1024,8716.9535
92.791314,1024,8745.627544
87.128808,1024,8774.864785
89.51709,1024,8802.616524
91.533194,1024,8832.936258
87.175525,1024,8861.513446
90.612116,1024,8890.622663
88.783288,1024,8919.448317
85.60506,1024,8948.719409
87.86819,1024,8977.98368
86.401816,1024,9007.241859
90.740606,1024,9035.372393
93.032821,1024,9063.818512
86.797482,1024,9092.158792
70.204345,1024,9120.637431
90.88693,1024,9148.380499
89.795196,1024,9177.214311
88.987446,1024,9205.293822
90.756721,1024,9234.320033
90.634038,1024,9262.409126
94.593115,1024,9291.623695
93.184128,1024,9320.053953
93.23393,1024,9348.767773
93.677488,1024,9376.775228
90.712296,1024,9406.733361
56.757238,832,9430.311005
91.748294,1024,9459.277956
94.262498,1024,9486.855971
89.330598,1024,9516.912542
91.796013,1024,9545.412081
91.064575,1024,9574.696715
16.197525,420,9586.753735
91.200435,1024,9614.661398
89.143829,1024,9643.275954
91.453541,1024,9671.176301
92.807377,1024,9699.810431
93.322145,1024,9727.651188
95.009215,1024,9756.01255
95.054296,1024,9783.806902
97.15287,1024,9812.193318
94.118805,1024,9839.888066
90.772028,1024,9868.654989
80.840551,1024,9896.250587
91.377206,1024,9924.862684
93.518614,1024,9952.474839
91.630138,1024,9981.093498
95.715264,1024,10008.99471
94.766656,1024,10038.133186
95.13112,1024,10065.841359
90.919181,1024,10094.416372
93.20632,1024,10122.219091
88.495464,1024,10150.839968
93.946444,1024,10178.560648
92.361132,1024,10207.199871
64.610202,943,10233.266153
89.083144,1024,10261.784871
90.479342,1024,10289.489966
92.297105,1024,10318.197405
62.952308,936,10343.758485
92.708738,1024,10372.793702
94.598765,1024,10401.054067
95.751894,1024,10429.712317
91.202651,1024,10457.3401
91.832222,1024,10485.808462
88.667512,1024,10514.300409
92.515642,1024,10543.005073
92.670234,1024,10570.725787
94.256047,1024,10599.490252
87.155948,1024,10627.758767
27.738504,606,10645.681839
93.514356,1024,10673.194393
95.573526,1024,10702.124593
95.779865,1024,10730.032153
93.639274,1024,10758.699331
93.133895,1024,10786.291465
96.647462,1024,10814.50625
93.698331,1024,10842.036418
92.475489,1024,10870.825416
94.382567,1024,10898.413481
86.758272,1024,10927.455112
94.646227,1024,10955.094793
95.363289,1024,10984.275346
95.92447,1024,11012.48525
87.07466,1024,11041.189937
95.452016,1024,11069.052002
95.870506,1024,11097.702986
59.585202,966,11124.74285
94.560647,1024,11153.412843
95.081472,1024,11181.843964
91.522206,1024,11210.691995
97.616957,1024,11238.508474
93.17006,1024,11267.011153
94.075646,1024,11294.813196
97.471196,1024,11323.471256
96.534506,1024,11350.955576
93.886618,1024,11380.318778
92.348182,1024,11407.912044
96.93064,1024,11436.2302
86.553123,1024,11465.439176
91.334544,1024,11494.156382
97.542044,1024,11522.62209
95.380375,1024,11551.071813
96.569428,1024,11578.899084
81.484815,1024,11607.514491
87.429232,1024,11635.545457
96.899825,1024,11663.712792
97.464804,1024,11691.350342
96.209812,1024,11720.017049
97.873991,1024,11747.467438
96.350511,1024,11776.535908
95.163992,1024,11804.147876
95.975997,1024,11832.767234
96.173483,1024,11860.47127
97.062916,1024,11888.816499
95.270869,1024,11916.951323
96.104056,1024,11945.938232
37.516351,628,11963.39478
94.302345,1024,11990.870646
95.178728,1024,12019.097602
96.202312,1024,12047.020374
95.569145,1024,12075.37203
95.229508,1024,12103.532131
94.732139,1024,12132.110061
94.876245,1024,12160.551334
96.409733,1024,12189.286267
73.726915,1024,12217.098843
94.508817,1024,12246.326462
94.133508,1024,12274.104922
92.883429,1024,12302.785588
34.188616,639,12320.852739
95.016996,1024,12349.668113
94.967242,1024,12377.343808
92.398436,1024,12406.14419
91.819997,1024,12434.206548
89.459288,1024,12462.950107
80.854114,1024,12491.074118
93.82854,1024,12519.467982
96.482131,1024,12547.301303
95.998663,1024,12576.21507
95.985639,1024,12604.177073
88.731406,1024,12632.956675
92.861769,1024,12660.695844
94.342883,1024,12689.466972
74.76574,1024,12717.285729
97.477933,1024,12746.634721
93.405477,1024,12774.581241
93.499387,1024,12803.244428
95.486919,1024,12831.038242
92.775408,1024,12859.749646
94.680363,1024,12887.25776
16.353511,462,12900.618876
93.951275,1024,12928.968818
95.448606,1024,12956.522909
95.437854,1024,12984.991229
92.717403,1024,13012.518282
93.740353,1024,13041.267304
94.375773,1024,13068.898698
97.80375,1024,13097.57758
91.598815,1024,13125.433753
93.208667,1024,13153.94947
93.71597,1024,13181.400295
94.640536,1024,13209.823694
94.710237,1024,13237.519786
95.831749,1024,13266.400108
96.726865,1024,13294.173697
