,head_x,head_y,target_x,target_y
370,-47.57306671142578,-26.205341339111328,-52.29859040848659,-30.650398971514818
371,-47.666194915771484,-26.323644638061523,-52.390657122906845,-30.727364608625557
372,-47.84214401245117,-26.352928161621094,-52.48295431959219,-30.804053699662227
373,-47.974143981933594,-26.32355499267578,-52.57548116786846,-30.88046555442353
374,-48.095577239990234,-26.396160125732422,-52.66823683499466,-30.956599485203284
375,-48.25288772583008,-26.5018310546875,-52.76122048617041,-31.03245480679663
376,-48.36669921875,-26.648752212524414,-52.85443128454347,-31.108030836506188
377,-48.40227127075195,-26.786718368530273,-52.9478683912173,-31.18332689414819
378,-48.42858123779297,-26.908720016479492,-53.041530965258545,-31.258342302058637
379,-48.44009017944336,-27.034337997436523,-53.13541816370469,-31.333076385099353
380,-48.3964958190918,-27.164819717407227,-53.22952914157158,-31.407528470664104
381,-48.430084228515625,-27.32099151611328,-53.323863051861046,-31.48169788868462
382,-48.515106201171875,-27.498836517333984,-53.41841904556854,-31.555583971636644
383,-48.625038146972656,-27.58328628540039,-53.513196271690745,-31.62918605454592
384,-48.76997756958008,-27.568492889404297,-53.60819387723326,-31.702503474994195
385,-48.89883041381836,-27.49710464477539,-53.7034110072183,-31.775535573125197
