Wall time,Step,Value
1534024589.3381531,224,2.0
1534024639.0968754,225,2.0
1534024689.0322604,226,2.0
1534024739.1477816,227,2.0
1534024788.5977964,228,2.0
1534024838.760265,229,2.0
1534024889.153034,230,2.0
1534024938.9752924,231,2.0
1534024988.504825,232,2.0
1534025038.7253556,233,2.0
1534025089.7864707,234,2.0
1534025139.732757,235,2.0
1534025190.2473292,236,2.0
1534025240.6830065,237,2.0
1534025290.8555436,238,2.0
1534025340.1072216,239,2.0
1534025389.9534342,240,2.0
1534025440.2729938,241,2.0
1534025491.2040644,242,2.0
1534025541.2064793,243,2.0
1534025591.5310566,244,2.0
1534025641.8686748,245,2.0
1534025692.4098108,246,2.0
1534025742.433211,247,2.0
1534025793.0740945,248,2.0
1534025843.8620803,249,2.0
1534025893.160528,250,2.0
1534025943.6582103,251,2.0
1534025993.435376,252,2.0
1534026043.7559965,253,2.0
1534026093.8532662,254,2.0
1534026144.033777,255,2.0
1534026193.5387502,256,2.0
1534026243.6222744,257,2.0
1534026293.788789,258,2.0
1534026343.5679815,259,2.0
1534026393.0369985,260,2.0
1534026443.1114223,261,2.0
1534026492.5444524,262,2.0
1534026542.7549474,263,2.0
1534026593.2017045,264,2.0
1534026642.6066597,265,2.0
1534026693.7107282,266,2.0
1534026743.3909152,267,2.0
1534026793.4276917,268,2.0
1534026843.7443922,269,2.0
1534026894.0290418,270,2.0
1534026944.726894,271,2.0
1534026995.127072,272,2.0
1534027045.0302925,273,2.0
1534027095.3288264,274,2.0
1534027145.3433247,275,2.0
1534027195.085127,276,2.0
1534027245.0795019,277,2.0
1534027295.3991344,278,2.0
1534027345.260523,279,2.0
1534027395.4320168,280,2.0
1534027446.5051997,281,2.0
1534027496.4891107,282,2.0
1534027546.1842618,283,2.0
1534027596.334774,284,2.0
1534027646.2420914,285,2.0
1534027695.699546,286,2.0
1534027744.9774034,287,2.0
1534027795.5021422,288,2.0
1534027846.3510718,289,2.0
1534027896.6626897,290,2.0
1534027947.0313306,291,2.0
1534027996.5142968,292,2.0
1534028045.993819,293,2.0
1534028095.8241038,294,2.0
1534028145.8974922,295,2.0
1534028196.1149814,296,2.0
1534028246.593704,297,2.0
1534028296.5030215,298,2.0
1534028346.8355913,299,2.0
1534028397.1221335,300,2.0
1534028448.1171935,301,2.0
1534028498.230584,302,2.0
1534028548.6321929,303,2.0
1534028599.0408337,304,2.0
1534028649.1772938,305,2.0
1534028699.3607469,306,2.0
1534028749.5182016,307,2.0
1534028799.4085178,308,2.0
1534028849.4689074,309,2.0
1534028899.2731366,310,2.0
1534028948.8286593,311,2.0
1534028998.9912097,312,2.0
1534029049.2707334,313,2.0
1534029098.735687,314,2.0
1534029148.2962341,315,2.0
1534029197.7992609,316,2.0
1534029247.3423457,317,2.0
1534029298.5581737,318,2.0
1534029348.959929,319,2.0
1534029399.2595108,320,2.0
1534029449.7731981,321,2.0
1534029500.2539225,322,2.0
1534029550.7485936,323,2.0
1534029600.936114,324,2.0
1534029650.3260043,325,2.0
1534029700.6758153,326,2.0
1534029751.3145976,327,2.0
1534029801.7712557,328,2.0
1534029851.6911952,329,2.0
1534029902.0606894,330,2.0
1534029951.5576828,331,2.0
1534030001.6070936,332,2.0
1534030051.9161649,333,2.0
1534030101.2754698,334,2.0
1534030151.0536366,335,2.0
1534030201.0175188,336,2.0
1534030251.8014917,337,2.0
1534030302.4523692,338,2.0
1534030352.9251595,339,2.0
1534030403.0987334,340,2.0
1534030453.5444314,341,2.0
1534030503.2878268,342,2.0
1534030552.5537183,343,2.0
1534030602.7293522,344,2.0
1534030652.3363974,345,2.0
1534030701.615243,346,2.0
1534030751.3018804,347,2.0
1534030801.598482,348,2.0
1534030851.1926465,349,2.0
1534030900.733646,350,2.0
1534030950.816552,351,2.0
1534031000.4205956,352,2.0
1534031050.2638192,353,2.0
1534031099.778848,354,2.0
1534031149.4484422,355,2.0
1534031199.9731946,356,2.0
1534031250.6100237,357,2.0
1534031300.9861622,358,2.0
1534031351.2997355,359,2.0
1534031402.1096525,360,2.0
1534031451.808848,361,2.0
1534031501.551494,362,2.0
1534031551.2045724,363,2.0
1534031600.8406513,364,2.0
1534031650.9375994,365,2.0
1534031700.8358655,366,2.0
1534031750.3848758,367,2.0
1534031800.5604472,368,2.0
1534031850.8110764,369,2.0
1534031900.337064,370,2.0
1534031950.3123782,371,2.0
1534031999.9784784,372,2.0
1534032049.8177798,373,2.0
1534032099.196692,374,2.0
1534032149.439309,375,2.0
1534032199.5477922,376,2.0
1534032250.1499045,377,2.0
1534032299.3608074,378,2.0
1534032349.4421985,379,2.0
1534032399.3870378,380,2.0
1534032449.962826,381,2.0
1534032499.8751032,382,2.0
1534032549.6438959,383,2.0
1534032599.0728936,384,2.0
1534032649.6566577,385,2.0
1534032699.7860918,386,2.0
1534032750.270863,387,2.0
1534032800.3432784,388,2.0
1534032850.5478756,389,2.0
1534032900.7593472,390,2.0
1534032950.619223,391,2.0
1534033000.6897519,392,2.0
1534033051.154474,393,2.0
1534033100.6209679,394,2.0
1534033150.2851212,395,2.0
1534033201.8335862,396,2.0
1534033253.1238203,397,2.0
1534033303.0291185,398,2.0
1534033353.4567974,399,2.0
1534033403.9226167,400,2.0
1534033453.8023279,401,2.0
1534033503.329347,402,2.0
1534033552.9715114,403,2.0
1534033603.0690105,404,2.0
1534033652.6623576,405,2.0
1534033702.2814348,406,2.0
1534033752.060609,407,2.0
1534033801.5445678,408,2.0
1534033851.0115445,409,2.0
1534033900.5715642,410,2.0
1534033949.901426,411,2.0
1534033999.064393,412,2.0
1534034048.638416,413,2.0
1534034098.769863,414,2.0
1534034148.779298,415,2.0
1534034199.050625,416,2.0
1534034248.840883,417,2.0
1534034298.561007,418,2.0
1534034347.9849238,419,2.0
1534034397.924342,420,2.0
1534034448.4670196,421,2.0
1534034499.1019537,422,2.0
1534034549.393012,423,2.0
1534034599.7677097,424,2.0
1534034649.4588234,425,2.0
1534034698.7716603,426,2.0
1534034748.3177707,427,2.0
1534034797.7076626,428,2.0
1534034847.5809133,429,2.0
1534034898.1788924,430,2.0
1534034947.715949,431,2.0
1534034997.58921,432,2.0
1534035047.5796063,433,2.0
1534035096.81046,434,2.0
1534035146.4095,435,2.0
1534035196.3418112,436,2.0
1534035246.8374171,437,2.0
1534035295.9781613,438,2.0
1534035346.1114154,439,2.0
1534035396.2104454,440,2.0
1534035446.4999871,441,2.0
1534035495.888969,442,2.0
1534035545.336959,443,2.0
1534035594.701831,444,2.0
1534035644.6491885,445,2.0
1534035695.0526958,446,2.0
1534035744.9990191,447,2.0
1534035795.2355382,448,2.0
1534035845.9093602,449,3.0
1534035896.2168992,450,2.0
1534035946.9287887,451,2.0
1534035997.6561778,452,2.0
1534036047.055155,453,2.0
1534036096.295941,454,2.0
1534036146.5655012,455,2.0
1534036197.0687106,456,2.0
1534036247.6134548,457,2.0
1534036297.5047495,458,2.0
1534036347.0492764,459,2.0
1534036397.0526433,460,2.0
1534036447.440253,461,2.0
1534036497.4996412,462,2.0
1534036547.4610047,463,2.0
1534036596.9339783,464,2.0
1534036647.3036146,465,2.0
1534036697.0418622,466,2.0
1534036746.818093,467,2.0
1534036796.445157,468,2.0
1534036846.192376,469,2.0
1534036896.4073813,470,2.0
1534036946.9331262,471,2.0
1534036997.0805986,472,2.0
1534037046.6646442,473,2.0
1534037096.366111,474,2.0
1534037146.5896955,475,2.0
1534037195.8745403,476,2.0
1534037245.2875261,477,2.0
1534037294.7334638,478,2.0
1534037344.7007642,479,2.0
1534037394.8383687,480,2.0
1534037444.8596795,481,2.0
1534037494.3676608,482,2.0
1534037544.299861,483,2.0
1534037593.9360805,484,2.0
1534037643.9109514,485,2.0
1534037693.4870033,486,2.0
1534037743.4743674,487,2.0
1534037793.5296953,488,2.0
1534037843.1375644,489,2.0
1534037892.7496579,490,2.0
1534037943.5466464,491,2.0
1534037994.0904126,492,2.0
1534038044.2639756,493,2.0
1534038094.7146423,494,2.0
1534038145.4281847,495,2.0
1534038195.429613,496,2.0
1534038246.0824394,497,2.0
1534038295.6514573,498,2.0
1534038345.2825527,499,2.0
1534038394.8105798,500,2.0
1534038444.655884,501,2.0
1534038494.8865197,502,2.0
1534038545.1167386,503,2.0
1534038594.8244946,504,2.0
1534038644.3835366,505,2.0
1534038694.6947088,506,2.0
1534038744.5829604,507,2.0
1534038794.2440994,508,2.0
1534038843.8011312,509,2.0
1534038893.5957632,510,2.0
1534038944.1803265,511,2.0
1534038994.932232,512,2.0
1534039045.1702285,513,2.0
1534039095.0114467,514,2.0
1534039144.823758,515,2.0
1534039194.668044,516,2.0
1534039244.649894,517,2.0
1534039294.9895878,518,2.0
1534039345.159037,519,2.0
1534039395.5637324,520,2.0
1534039451.6077085,521,2.0
1534039505.945236,522,2.0
1534039556.2558286,523,2.0
1534039606.8139496,524,2.0
1534039657.1565685,525,2.0
1534039706.865733,526,2.0
1534039757.6045861,527,2.0
1534039807.5678046,528,2.0
1534039857.8293982,529,2.0
1534039907.196322,530,2.0
1534039956.4542627,531,2.0
1534040006.892967,532,2.0
1534040057.6519103,533,2.0
1534040107.96246,534,2.0
1534040157.5225024,535,2.0
1534040207.8720968,536,2.0
1534040258.1506183,537,2.0
1534040307.7647665,538,2.0
1534040358.1154227,539,2.0
1534040408.5460484,540,2.0
1534040461.374545,541,2.0
1534040517.085193,542,2.0
1534040594.7985165,543,2.0
1534040649.2854912,544,2.0
1534040703.1111145,545,2.0
1534040756.2129927,546,2.0
1534040815.6111946,547,2.0
1534040870.4188387,548,2.0
1534040935.8147817,549,2.0
1534040988.0407643,550,2.0
